"TransactionID","CustomerID","Date","BranchID","EmployeeID"
"1","0","2019-12-27 10:16:15","1","391"
"2","1016","2019-10-02 10:02:50","19",NULL
"3","527","2019-06-01 19:02:41","6","257"
"4","0","2019-09-08 16:03:25","11",NULL
"5","1682","2019-09-30 19:18:45","11",NULL
"6","0","2019-03-01 10:27:55","3",NULL
"7","26","2019-07-11 15:10:34","16",NULL
"8","0","2019-04-08 18:28:26","14","333"
"9","0","2019-01-17 13:19:43","12","97"
"10","1836","2019-12-07 19:36:02","6",NULL
"11","0","2019-01-18 11:29:27","9",NULL
"12","0","2019-02-02 19:54:41","7",NULL
"13","345","2019-12-29 16:26:06","3",NULL
"14","0","2019-10-09 15:49:11","20",NULL
"15","1045","2019-10-09 12:49:58","6",NULL
"16","1725","2019-01-20 12:48:15","8",NULL
"17","0","2019-06-13 16:42:00","10","476"
"18","0","2019-06-18 14:48:09","12","72"
"19","598","2019-09-13 17:45:53","6",NULL
"20","0","2019-10-12 11:24:07","19",NULL
"21","1953","2019-01-07 13:14:22","2",NULL
"22","98","2019-01-14 17:19:50","11",NULL
"23","1741","2019-09-07 13:33:26","18",NULL
"24","0","2019-04-14 18:04:08","13",NULL
"25","997","2019-03-30 17:40:00","8",NULL
"26","364","2019-01-29 15:20:50","12",NULL
"27","1998","2019-03-11 10:06:49","1",NULL
"28","0","2019-08-05 13:40:44","12",NULL
"29","0","2019-11-18 17:35:49","11",NULL
"30","0","2019-10-10 10:22:27","8","125"
"31","0","2019-07-15 14:56:25","11",NULL
"32","937","2019-04-30 15:22:21","8",NULL
"33","0","2019-02-09 18:27:42","13",NULL
"34","0","2019-10-06 18:40:27","20",NULL
"35","0","2019-03-09 12:06:57","6",NULL
"36","1060","2019-04-03 14:44:28","7",NULL
"37","0","2019-12-18 10:11:49","14",NULL
"38","0","2019-03-05 14:46:41","13",NULL
"39","914","2019-04-13 15:34:00","10",NULL
"40","988","2019-11-08 10:35:40","1",NULL
"41","0","2019-06-18 18:58:15","19","205"
"42","1613","2019-05-09 14:58:43","5","510"
"43","0","2019-10-01 12:45:01","19",NULL
"44","0","2019-08-30 10:05:31","7",NULL
"45","0","2019-11-30 14:09:03","20",NULL
"46","0","2019-12-07 18:14:21","3",NULL
"47","0","2019-06-19 16:35:06","19",NULL
